text	label	cleaned_text
We will also work with provinces, territories, and First Nations	0	We also work province territory First Nations
Guarantee social security for all French people as well as reimbursement of all risks supported by health insurance.	1	Guarantee social security French people well reimbursement risk supported health insurance
We will be the world’s foremost champion of free trade.	0	We world’s foremost champion free trade
But no peril justifies the regulatory impact of Obamacare on the practice of medicine,	0	But peril justifies regulatory impact Obamacare practice medicine
We will work to fully fund the Indian Health Service, Tribal, and Urban Indian health care system and	1	We work fully fund Indian Health Service Tribal Urban Indian health care system
This will support our aim to make Britain the best place in Europe, and one of the top five worldwide, to do business by 2020.	0	This support aim make Britain best place Europe one top five worldwide business 2020
We will work to expand access to cost-saving renewable energy by low-income households,	1	We work expand access costsaving renewable energy lowincome household
We will also act in specific markets.	1	We also act specific market
while addressing the wellbeing of the whole child.	1	addressing wellbeing whole child
Our system of care for the elderly is not working for the hundreds of thousands currently not getting the dignified and careful attention they deserve,	1	Our system care elderly working hundred thousand currently getting dignified careful attention deserve
We need to give every child in our country the best possible education if we are to provide them with the best opportunities in the world.	1	We need give every child country best possible education provide best opportunity world
Prohibition of financial speculations and high -risk operations with the money of the account holders, small savers, businesses and families.	1	Prohibition financial speculation high risk operation money account holder small saver business family
Theresa May’s Conservatives will deliver · More good school places, ending the ban on selective schools	1	Theresa May’s Conservatives deliver · More good school place ending ban selective school
Today’s education reform movement calls for accountability at every stage of schooling.	1	Today’s education reform movement call accountability every stage schooling
We advocate the policies and methods that have proven effective: building on the basics, especially STEM subjects (science, technology, engineering, and math) and phonics;	1	We advocate policy method proven effective building basic especially STEM subject science technology engineering math phonics
We should help state and local leaders establish evidence-based, age-appropriate, and locally-tailored prevention programs.	1	We help state local leader establish evidencebased ageappropriate locallytailored prevention program
We will create a federal/provincial/territorial task force,	0	We create federalprovincialterritorial task force
“Maternity Capital” should be renamed “Family Capital” and increased for the birth of the first child to 500 thousand rubles and up to 700 thousand rubles for the birth of the second.	1	“Maternity Capital” renamed “Family Capital” increased birth first child 500 thousand ruble 700 thousand ruble birth second
To level the international playing field, and to spur job creation here at home, we call for a reduction of the corporate rate to keep U.S. corporations competitive internationally,	0	To level international playing field spur job creation home call reduction corporate rate keep US corporation competitive internationally
A re-elected Conservative Government will continue to support the Strategic Investments in Northern Economic Development program to finance economic development projects in the territories.	0	A reelected Conservative Government continue support Strategic Investments Northern Economic Development program finance economic development project territory
We support the innovations in education reform occurring at the State level based upon proven results.	0	We support innovation education reform occurring State level based upon proven result
· We will give more autonomy to educational teams.	1	· We give autonomy educational team
We are committed to eliminating the unsustainable mandate to “pre-fund” retiree health costs.	1	We committed eliminating unsustainable mandate “prefund” retiree health cost
We believe that by making those at the top and the largest corporations pay their fair share	1	We believe making top largest corporation pay fair share
These programmes are now some of the UK’s largest graduate employers, taking the brightest and best from our universities and using their talents to tackle entrenched social problems.	1	These programme UK’s largest graduate employer taking brightest best university using talent tackle entrenched social problem
And we will not increase the level of Value Added Tax.	1	And increase level Value Added Tax
Legislation  to  restore  the  authority  of States  in  environmental  protection  is  essential.   	0	Legislation restore authority States environmental protection essential
We will also work collaboratively with provinces and territories	0	We also work collaboratively province territory
to keep healthcare costs low,	1	keep healthcare cost low
We will encourage investments in small businesses.	0	We encourage investment small business
can get screened for autism.	1	get screened autism
as well as prudent regulation, financial education, and targeted assistance to responsible borrowers.	0	well prudent regulation financial education targeted assistance responsible borrower
including advance notice to all State and local governments, tribes, businesses, landowners, and the public who could be adversely affected.	0	including advance notice State local government tribe business landowner public could adversely affected
and finally of consumption taxes.	0	finally consumption tax
We will create a strong stable paid caregiving workforce to help meet families' needs, by raising wages, improving access to training, and giving workers the opportunity to come together to make their voices heard in support of a stronger system.	1	We create strong stable paid caregiving workforce help meet family need raising wage improving access training giving worker opportunity come together make voice heard support stronger system
To restore economic fairness, Democrats will fight against the greed and recklessness of Wall Street.	1	To restore economic fairness Democrats fight greed recklessness Wall Street
It is necessary to reduce mandatory contributions to state extra -budgetary funds for entrepreneurs, the amount of contributions should not exceed 20%.	0	It necessary reduce mandatory contribution state extra budgetary fund entrepreneur amount contribution exceed 20
We will make sure that revaluations are conducted more frequently to avoid large changes to the bills that businesses face,	0	We make sure revaluation conducted frequently avoid large change bill business face
Revaluate manual work by establishing professional sectors of excellence (gradual abolition of the single college, authorization for apprenticeship from 14 years old).	1	Revaluate manual work establishing professional sector excellence gradual abolition single college authorization apprenticeship 14 year old
· Professional licenses will be prepared over three years and alternating.	1	· Professional license prepared three year alternating
The University must attack waste and privileges to honor its social missions: teaching, research and active role in the development of the territory.	1	The University must attack waste privilege honor social mission teaching research active role development territory
Neighbourhoods are deciding what is built in their area and what happens to assets such as parks and public buildings.	0	Neighbourhoods deciding built area happens asset park public building
Moreover, many older people have built considerable property assets due to rising property prices.	0	Moreover many older people built considerable property asset due rising property price
Trade will continue to be crucial to our future growth and prosperity.	0	Trade continue crucial future growth prosperity
This positive evolution of our constitution has given a voice to people who felt distant from the centre of power, and responsibility to people for their own part of our great country.	0	This positive evolution constitution given voice people felt distant centre power responsibility people part great country
We will expect every 11-yearold to know their times tables off by heart.	1	We expect every 11yearold know time table heart
So under a new Conservative government, schools in England will offer a free school breakfast to every child in every year of primary school, while children from low-income families will continue to receive free school lunches throughout their years in primary and secondary education.	0	So new Conservative government school England offer free school breakfast every child every year primary school child lowincome family continue receive free school lunch throughout year primary secondary education
better regulation	1	better regulation
and explore the introduction of self-assessments in the valuation process.	0	explore introduction selfassessments valuation process
That is good news for the middle class and the communities they call home.	0	That good news middle class community call home
We need an economy that prioritizes long-term investment over short-term profit-seeking,	1	We need economy prioritizes longterm investment shortterm profitseeking
As we explain in chapter two, it is why we are determined to move many of the functions of central government out to cities around Britain where possible	0	As explain chapter two determined move many function central government city around Britain possible
and give councils new powers to build the homes local communities need.	0	give council new power build home local community need
Trade is vital for our economy.	0	Trade vital economy
and  the  Constitutional  prerogatives  of  the individual  States,	0	Constitutional prerogative individual States
Higher education faces its own challenges, many of which stem from the poor preparation of students before they reach college.	1	Higher education face challenge many stem poor preparation student reach college
We will crack down on unfair practices in leasehold, such as escalating ground rents.	1	We crack unfair practice leasehold escalating ground rent
In our party, no re -acting even for those who had kept inappropriate behaviors and in any case in contrast with its principles of correctness and transparency.	1	In party acting even kept inappropriate behavior case contrast principle correctness transparency
And for too many families, the dream of homeownership is out of reach.	0	And many family dream homeownership reach
transparency, so parents and the public can discover which schools best serve their pupils;	1	transparency parent public discover school best serve pupil
A Republican President will complete negotiations for a TransPacific Partnership to open rapidly developing Asian markets to U.S. products.	0	A Republican President complete negotiation TransPacific Partnership open rapidly developing Asian market US product
We will keep a check on the growth of welfare spending,	0	We keep check growth welfare spending
We will therefore commission an independent review into the Cost of Energy, which will be asked to make recommendations as to how we can ensure UK energy costs are as low as possible,	1	We therefore commission independent review Cost Energy asked make recommendation ensure UK energy cost low possible
promoted education,	1	promoted education
rather than entitlements and indebtedness.	0	rather entitlement indebtedness
Refuse the closure of the Fessenheim power station.	1	Refuse closure Fessenheim power station
and holding it accountable for delivering exceptional care to patients wherever and whenever they need it.	1	holding accountable delivering exceptional care patient wherever whenever need it
We will make doing business online easier for companies	0	We make business online easier company
Republicans will pursue free market policies that are the surest way to boost employment	0	Republicans pursue free market policy surest way boost employment
Yet this Conservative Government has taken small businesses for granted.	0	Yet Conservative Government taken small business granted
Being stronger together means finally achieving that goal.	1	Being stronger together mean finally achieving goal
The settlement governing these islands has changed profoundly in the last twenty years.	0	The settlement governing island changed profoundly last twenty year
We must make Wall Street work for the job-creating, productive economy—including by making loans more affordable for small- and medium-sized businesses.	1	We must make Wall Street work jobcreating productive economy—including making loan affordable small mediumsized business
programs that support the development of character and financial literacy;	1	program support development character financial literacy
Democrats condemn predatory payday lending, and will protect consumers by defending the CFPB and implementing strong new regulations.	1	Democrats condemn predatory payday lending protect consumer defending CFPB implementing strong new regulation
We do not believe in untrammelled free markets.	1	We believe untrammelled free market
60. Provide citizens with nurses and kindergartens	1	60 Provide citizen nurse kindergarten
Unlike the current Administration, we will not pick winners and losers in the energy marketplace.	0	Unlike current Administration pick winner loser energy marketplace
We believe that personnel is policy.	1	We believe personnel policy
Homeownership is an important goal, but public policy must be balanced to reflect the needs of Americans who choose to rent.	1	Homeownership important goal public policy must balanced reflect need Americans choose rent
