text,label,cleaned_text
But too many Americans have been left out and left behind.,1,But many Americans left left behind
"and the racial wealth gap remains wide,",1,racial wealth gap remains wide
"empowerment is better than resentment,",1,empowerment better resentment
and bridges are better than walls.,1,bridge better wall
"—an economy that grows incomes for working people,",1,—an economy grows income working people
"creates good-paying jobs,",1,creates goodpaying job
and puts a middle-class life within reach for more Americans.,1,put middleclass life within reach Americans
which will create good-paying jobs and raise wages.,1,create goodpaying job raise wage
"so the rewards are shared broadly, not just with those at the top.",1,reward shared broadly top
and our politics poisonous.,1,politics poisonous
And we know that our nation’s long struggle with race is far from over.,1,And know nation’s long struggle race far over
"More than half a century after Rosa Parks sat and Dr. King marched and John Lewis bled, more than half a century after César Chávez, Dolores Huerta, and Larry Itliong organized, race still plays a significant role in determining who gets ahead in America and who gets left behind.",1,More half century Rosa Parks sat Dr King marched John Lewis bled half century César Chávez Dolores Huerta Larry Itliong organized race still play significant role determining get ahead America get left behind
We must face that reality and we must fix it.,1,We must face reality must fix it
We believe in helping Americans balance work and family without fear of punishment or penalty.,1,We believe helping Americans balance work family without fear punishment penalty
We believe in at last guaranteeing equal pay for women.,1,We believe last guaranteeing equal pay woman
"restore the full power of the Voting Rights Act,",1,restore full power Voting Rights Act
and return control of our elections to the American people.,1,return control election American people
Democrats believe we are stronger and safer when America brings the world together and leads with principle and purpose.,1,Democrats believe stronger safer America brings world together lead principle purpose
"We believe we should strengthen our alliances, not weaken them.",1,We believe strengthen alliance weaken them
We believe in the power of development and diplomacy.,1,We believe power development diplomacy
and that we must do everything we can to honor and support our veterans.,1,must everything honor support veteran
"And we know that only the United States can mobilize common action on a truly global scale, to take on the challenges that transcend borders, from international terrorism to climate change to health pandemics.",1,And know United States mobilize common action truly global scale take challenge transcend border international terrorism climate change health pandemic
"Above all, Democrats are the party of inclusion.",1,Above all Democrats party inclusion
We know that diversity is not our problem—it is our promise.,1,We know diversity problem—it promise
"As Democrats, we respect differences of perspective and belief, and pledge to work together to move this country forward, even when we disagree.",1,As Democrats respect difference perspective belief pledge work together move country forward even disagree
"With this platform, we do not merely seek common ground—we strive to reach higher ground.",1,With platform merely seek common ground—we strive reach higher ground
We are proud of our heritage as a nation of immigrants.,1,We proud heritage nation immigrant
"We know that today’s immigrants are tomorrow’s teachers, doctors, lawyers, government leaders, soldiers, entrepreneurs, activists, PTA members, and pillars of our communities.",1,We know today’s immigrant tomorrow’s teacher doctor lawyer government leader soldier entrepreneur activist PTA member pillar community
"We believe in protecting civil liberties and guaranteeing civil rights and voting rights, women’s rights and workers’ rights, LGBT rights, and rights for people with disabilities.",1,We believe protecting civil liberty guaranteeing civil right voting right women’s right workers’ right LGBT right right people disability
"But in 2016, the stakes can be measured in human lives—in the number of immigrants who would be torn from their homes;",1,But 2016 stake measured human lives—in number immigrant would torn home
in the number of faithful and peaceful Muslims who would be barred from even visiting our shores;,1,number faithful peaceful Muslims would barred even visiting shore
in the number of allies alienated and dictators courted;,1,number ally alienated dictator courted
"a more equal society,",1,equal society
"Republican governors, legislatures, and their corporate allies have launched attack after attack on workers’ fundamental rights to organize and bargain collectively.",1,Republican governor legislature corporate ally launched attack attack workers’ fundamental right organize bargain collectively
"Too many Americans are living paycheck to paycheck,",1,Too many Americans living paycheck paycheck
retiring with dignity,1,retiring dignity
"The Democratic Party believes that supporting workers through higher wages,",1,The Democratic Party belief supporting worker higher wage
"workplace protections,",1,workplace protection
"policies to balance work and family,",1,policy balance work family
No one who works full time should have to raise a family in poverty.,1,No one work full time raise family poverty
and have the right to form or join a union,1,right form join union
"and will work in every way we can—in Congress and the federal government, in states and with the private sector—to reach this goal.",1,work every way can—in Congress federal government state private sector—to reach goal
"give all Americans the ability to join a union regardless of where they work,",1,give Americans ability join union regardless work
